07/24 21:34:12.991 Normal:  Status: 5.58 GB downloaded (3.116% complete) current rate:  8.09 MB/s
07/24 21:34:18.013 Normal:  Status: 5.58 GB downloaded (3.116% complete) current rate:  6.24 MB/s
07/24 21:34:23.048 Normal:  Status: 5.60 GB downloaded (3.128% complete) current rate:  2.04 MB/s
07/24 21:34:28.081 Normal:  Status: 5.61 GB downloaded (3.130% complete) current rate:  670 kB/s
07/24 21:34:33.102 Normal:  Status: 5.65 GB downloaded (3.152% complete) current rate:  1.05 MB/s
07/24 21:34:38.117 Normal:  Status: 5.66 GB downloaded (3.161% complete) current rate:  1.28 MB/s
07/24 21:34:43.138 Normal:  Status: 5.70 GB downloaded (3.184% complete) current rate:  3.05 MB/s
07/24 21:34:48.159 Normal:  Status: 5.75 GB downloaded (3.210% complete) current rate:  5.33 MB/s
07/24 21:34:53.198 Normal:  Status: 5.80 GB downloaded (3.236% complete) current rate:  8.04 MB/s
07/24 21:34:58.230 Normal:  Status: 5.83 GB downloaded (3.255% complete) current rate:  9.18 MB/s
07/24 21:35:03.255 Normal:  Status: 5.83 GB downloaded (3.255% complete) current rate:  12.1 MB/s
07/24 21:35:08.293 Normal:  Status: 5.83 GB downloaded (3.255% complete) current rate:  10.0 MB/s
07/24 21:35:13.301 Normal:  Status: 5.85 GB downloaded (3.268% complete) current rate:  8.90 MB/s
07/24 21:35:18.327 Normal:  Status: 5.89 GB downloaded (3.288% complete) current rate:  5.14 MB/s
07/24 21:35:23.359 Normal:  Status: 5.91 GB downloaded (3.302% complete) current rate:  4.88 MB/s
07/24 21:35:28.415 Normal:  Status: 5.96 GB downloaded (3.324% complete) current rate:  5.45 MB/s
07/24 21:35:33.418 Normal:  Status: 5.98 GB downloaded (3.338% complete) current rate:  7.75 MB/s
07/24 21:35:38.447 Normal:  Status: 6.06 GB downloaded (3.383% complete) current rate:  10.6 MB/s
07/24 21:35:43.492 Normal:  Status: 6.10 GB downloaded (3.407% complete) current rate:  10.1 MB/s
07/24 21:35:48.515 Normal:  Status: 6.14 GB downloaded (3.428% complete) current rate:  9.02 MB/s
07/24 21:35:53.523 Normal:  Status: 6.17 GB downloaded (3.442% complete) current rate:  4.52 MB/s
07/24 21:35:58.558 Normal:  Status: 6.17 GB downloaded (3.442% complete) current rate:  2.39 MB/s
07/24 21:36:03.586 Normal:  Status: 6.18 GB downloaded (3.449% complete) current rate:  1.78 MB/s
07/24 21:36:08.607 Normal:  Status: 6.19 GB downloaded (3.456% complete) current rate:  1.60 MB/s
07/24 21:36:13.630 Normal:  Status: 6.19 GB downloaded (3.456% complete) current rate:  1.33 MB/s
07/24 21:36:18.673 Normal:  Status: 6.22 GB downloaded (3.471% complete) current rate:  438 kB/s
07/24 21:36:23.678 Normal:  Status: 6.26 GB downloaded (3.493% complete) current rate:  2.22 MB/s
07/24 21:36:28.699 Normal:  Status: 6.30 GB downloaded (3.515% complete) current rate:  1.72 MB/s
07/24 21:36:33.744 Normal:  Status: 6.34 GB downloaded (3.539% complete) current rate:  3.33 MB/s
07/24 21:36:38.771 Normal:  Status: 6.36 GB downloaded (3.552% complete) current rate:  5.89 MB/s
07/24 21:36:43.789 Normal:  Status: 6.40 GB downloaded (3.570% complete) current rate:  6.26 MB/s
07/24 21:36:48.809 Normal:  Status: 6.44 GB downloaded (3.594% complete) current rate:  11.4 MB/s
07/24 21:36:53.832 Normal:  Status: 6.44 GB downloaded (3.594% complete) current rate:  10.7 MB/s
07/24 21:36:58.845 Normal:  Status: 6.44 GB downloaded (3.594% complete) current rate:  7.86 MB/s
07/24 21:37:04.028 Normal:  Status: 6.46 GB downloaded (3.608% complete) current rate:  6.13 MB/s
07/24 21:37:08.849 Normal:  Status: 6.46 GB downloaded (3.608% complete) current rate:  4.59 MB/s
07/24 21:37:13.871 Normal:  Status: 6.51 GB downloaded (3.633% complete) current rate:  3.35 MB/s
07/24 21:37:18.967 Normal:  Status: 6.53 GB downloaded (3.646% complete) current rate:  1.85 MB/s
07/24 21:37:23.969 Normal:  Status: 6.55 GB downloaded (3.658% complete) current rate:  1.84 MB/s
07/24 21:37:29.020 Normal:  Status: 6.61 GB downloaded (3.688% complete) current rate:  3.30 MB/s
07/24 21:37:34.064 Normal:  Status: 6.65 GB downloaded (3.712% complete) current rate:  6.23 MB/s
07/24 21:37:39.078 Normal:  Status: 6.68 GB downloaded (3.728% complete) current rate:  6.86 MB/s
07/24 21:37:44.097 Normal:  Status: 6.71 GB downloaded (3.748% complete) current rate:  9.36 MB/s
07/24 21:37:49.122 Normal:  Status: 6.73 GB downloaded (3.756% complete) current rate:  7.95 MB/s
07/24 21:37:54.136 Normal:  Status: 6.73 GB downloaded (3.756% complete) current rate:  6.08 MB/s
07/24 21:37:59.165 Normal:  Status: 6.73 GB downloaded (3.756% complete) current rate:  5.04 MB/s
07/24 21:38:04.190 Normal:  Status: 6.75 GB downloaded (3.767% complete) current rate:  5.28 MB/s
07/24 21:38:09.229 Normal:  Status: 6.77 GB downloaded (3.778% complete) current rate:  3.29 MB/s
07/24 21:38:14.370 Normal:  Status: 6.82 GB downloaded (3.804% complete) current rate:  2.12 MB/s
07/24 21:38:19.289 Normal:  Status: 6.85 GB downloaded (3.821% complete) current rate:  1.68 MB/s
07/24 21:38:24.297 Normal:  Status: 6.89 GB downloaded (3.845% complete) current rate:  1.79 MB/s
07/24 21:38:29.328 Normal:  Status: 6.92 GB downloaded (3.865% complete) current rate:  2.22 MB/s
